"Fort Scott, KS",2158
PA,11536
"Thompson, MI",0
"Englewood, NJ",3943
"Chester, PA",3831
"Richmond, IN",3019
"Woodville, MS",0
"Ferriday, LA",2504
"Garnet, KS",0
"Bisbee, AZ",832
"Urbana, OH",3117
"Omaha, NE",2116
"Springs, CO",0
"Savannah, GA",3455
"Cleveland, OH",3296
"Arkadelphia, AR",2317
"Coffeyville, KS",2072
"Chandler, OK",1956
"Arkadelphia, AK",0
"Evansville, In",2785
"Temple, TX",1985
"Stanford, TX",0
"Alhambra, CA",12
"Moscobia, OK",0
"Bay City, TX",2183
"Columbus, GA",3088
CO,10386
CA,9801
"Chulett, NC",0
"Connellsville, PA",3472
"Jackson, MO",2600
"Sapulpa, OK",2026
"Bryant, Texas",0
"Armavilla, TX",0
CO ,0
"Dayton, OH",3078
"Douglas, AZ",869
"Natchitoches, LA",2360
"Charlotte, NC",3409
"Jenningo, LA",0
"Moreland, TX",0
"Baltimore, MD",3730
"Fresno, CA",330
"Tampa, FL",3464
"Santa Barbara, CA",140
"Barthlesville, OK",0
"Pomona, CA",46
"Austin, TX",1974
VA,9047
"Miami, FL",3760
IL,12874
"Pawhuska, OK",2006
IN,2904
"Fort Smith, AR",2182
GA ,0
"Grand Rapid, MI",10702
"Petersburg, VA",3684
"Brighett City, UT",0
"Goulveston, TX",0
"Joplin, MO",2170
"Portland, ME",4234
"Sedalia, MO",2294
"Milwaukee, WI",2806
"Calvert, TX",2050
"Chattanooga, TN",3009
"Eldorado, AR",9506
"Ruston, LA",2383
"Knoxville, TN",3122
"Dennis, TX",1894
"Brightington, KY",0
"Atlanta, GA",3115
"Monrovia, CA",25
"Williston, ND",1985
"Wichita Falls, TX",1821
"Pacific Grove, CA",439
Jamaica,4426
OK,1808
OH,9640
"Cincinatti, OH",9640
"Albetine, TX",0
"Darton, OH",0
"El Dorado, AR",2367
"Augusta, GA",3337
"Hobbs, NM",1412
"Camden, AR",2345
"Saint Louis, MO",2554
"Redlands, CA",98
"Merced, CA",415
"Kankakee, IL",2778
"Antario, CA",0
AK,10141
"Boston, MA",4175
"Lake Village, AR",0
"Kansas City, KS",2179
"Yokum, TX",0
"Joliet, IL",2765
"Mount Clair, NJ",0
"Inglewood, NJ",0
"Brooklyn, NY",3941
"Fort Worth, TX",1947
"Birmingham, AL",2899
"Little Rock, AR",2379
ME ,0
"Seattle, WA",1547
"Springfield, OH",3112
"Swainsbrough, GA",0
"Magnolia, MS",2618
NJ,3885
"San Bernadino, CA",88
NM,1126
"Durham, NC",3570
"San Diego, CA",180
NC,3479
NY,3941
"Winchester, TN",2934
"Gainsville, GA",3156
"Long Beach, CA",32
"Mexia, TX",0
"Rosenberg, TX",2176
"McAlister, OK",12254
"Homer, LA",2339
"Toronto, Canada",3499
"Asbury Park, NJ",3945
"Riverside, CA",79
"Marsdall, TX",0
"Crocket, TX",2153
"Columbus, OH",3180
"Fort Benton, MT",0
"Ogden, UT",971
"Crescent, OK",0
"Lexington, KY",3053
"New Hampton, IA",0
"Lexington, KS",0
"New York City, NY",3941
"Saint Joseph, MO",2172
"Hooks, TX",2214
"Hammond, LA",2637
"Youngstown, OH",3381
"Madison, WV",0
"Alberta, Canada",2291
"Jolliet, IL",0
TX,1732
"Corsicana, TX",2040
TN,12289
"Minden, LA",2322
"Robertsonville, MS",0
"Oklahoma City, OK",1899
"Tuscon, AZ",8940
"Bottle Creek, MI",0
AL,2916
AR,11898
"Sioux City, IA",2120
"Topeka, KS",2087
"Indianopolis, IN",2910
"Pueblo, CO",2594
"Monnovia, CA",0
"Santa Monica, CA",23
"Enid, OK",1867
"Brementon, WA",0
